region,filename,highway,bicycle,cycleway,lanes,maxspeed,oneway,label
portland,w484774777_n30345426.jpg,primary,,,4,30 mph,yes,0
portland,w205398931_n2047329160.jpg,secondary,designated,,2,30 mph,yes,1
portland,w141546168_n40562318.jpg,tertiary,,,,35 mph,,0
portland,w169290279_n1387744798.jpg,tertiary,designated,lane,,30 mph,yes,1
portland,w133433162_n2012887200.jpg,tertiary,designated,shared_lane,,30 mph,,1
portland,w125667131_n2152729099.jpg,secondary,,,,35 mph,,0
portland,w31804680_n356079353.jpg,tertiary,designated,,,,yes,1
portland,w306258904_n30231140.jpg,motorway,no,,5,60 mph,yes,0
portland,w404579166_n104725964.jpg,tertiary,,,,,,0
portland,w499392308_n59713263.jpg,secondary,,,5,30 mph,,0
portland,w15582659_n40740601.jpg,motorway,yes,,3,55 mph,yes,1
portland,w117157669_n4580382867.jpg,primary,yes,,,35 mph,,1
portland,w427907032_n4270714831.jpg,primary,,,5,,no,0
portland,w39805422_n40666734.jpg,secondary,yes,lane,4,30 mph,,1
portland,w504827321_n176450416.jpg,tertiary,designated,,5,30 mph,,1
portland,w335690397_n4694317240.jpg,tertiary,designated,shared_lane,2,30 mph,,1
portland,w603468173_n1598645053.jpg,primary,designated,lane,6,35 mph,,1
portland,w4910397_n4531083748.jpg,primary,,,2,35 mph,yes,0
portland,w369406860_n4045197574.jpg,motorway,no,,4,60 mph,reversible,0
portland,w4810290_n664375737.jpg,secondary,,,2,,yes,0
portland,w603468145_n5728706646.jpg,tertiary,designated,lane,1,35 mph,yes,1
portland,w199280476_n1411753929.jpg,tertiary,designated,lane,4,35 mph,,1
portland,w124413029_n1384928780.jpg,primary,,,2,40 mph,yes,0
portland,w203303308_n40497585.jpg,secondary,designated,lane,,35 mph,,1
portland,w392723823_n1744768751.jpg,motorway,no,,3,55 mph,yes,0
portland,w130922336_n3782792439.jpg,primary,,,3,40 mph,yes,0
portland,w6459104_n339948172.jpg,tertiary,,,,,,0
portland,w161268688_n40460687.jpg,tertiary,designated,lane,2,25 mph,,1
portland,w117449376_n1369554155.jpg,primary,designated,lane,2,40 mph,yes,1
portland,w428306605_n4274254406.jpg,secondary,designated,lane,3,30 mph,,1
portland,w119508511_n1320989169.jpg,tertiary,designated,,,25 mph,,1
portland,w123502680_n40739663.jpg,tertiary,designated,proposed,1,20 mph,yes,1
portland,w106335269_n5077868418.jpg,primary,yes|yes|designated,shared_lane,3,45 mph,yes,1
portland,w393927805_n3969771970.jpg,secondary,,,4,30 mph,,0
portland,w556125099_n3669265741.jpg,secondary,designated,shared_lane,3,30 mph,no,1
portland,w30369705_n40661401.jpg,motorway,no,,3,55 mph,yes,0
portland,w533064624_n1395156582.jpg,secondary,yes,,3,40 mph,yes,1
portland,w398631783_n176466649.jpg,primary,,,4,35 mph,no,0
portland,w10502126_n53197259.jpg,secondary,,,,30 mph,,0
portland,w332060264_n29977897.jpg,primary,,,2,35 mph,yes,0
portland,w399347265_n5078311846.jpg,primary,,,4,45 mph,no,0
portland,w332485173_n3651357119.jpg,primary,,,,,,0
portland,w30410347_n3324561168.jpg,tertiary,designated,shared_lane,,,,1
portland,w94787324_n40573977.jpg,tertiary,designated,,,30 mph,,1
portland,w556125098_n5364734399.jpg,secondary,designated,shared_lane,3,30 mph,no,1
portland,w395899910_n1392990773.jpg,tertiary,designated,lane,2,30 mph,yes,1
portland,w122603578_n1417611421.jpg,primary,designated,,4,40 mph,yes,1
portland,w414740195_n105987017.jpg,secondary,designated,shared_lane,,,,1
portland,w197608943_n40690905.jpg,tertiary,designated,lane,1,25 mph,yes,1
portland,w428254460_n53114585.jpg,secondary,designated,shared_lane,3,30 mph,,1
portland,w427915908_n4270773467.jpg,secondary,designated,shared_lane,6,,no,1
portland,w152131863_n1375313357.jpg,tertiary,designated,lane,2,30 mph,yes,1
portland,w30474351_n2142095465.jpg,tertiary,designated,lane,,25 mph,yes,1
portland,w542826806_n5249266214.jpg,primary,yes,,4,35 mph,,1
portland,w101455191_n2003857030.jpg,primary,,,2,30 mph,yes,0
portland,w30409443_n1386500684.jpg,primary,,lane,2,45 mph,,1
portland,w39472450_n5320856813.jpg,primary,,,2,25 mph,yes,0
portland,w609623223_n5249804109.jpg,secondary,designated,,2,35 mph,,1
portland,w264725691_n105142780.jpg,secondary,,,4,35 mph,,0
portland,w418550643_n4578347624.jpg,secondary,yes,,3,25 mph,,1
portland,w428218865_n53124638.jpg,secondary,designated,lane,2,30 mph,,1
portland,w139196305_n1406580941.jpg,secondary,yes,,8,40 mph,,1
portland,w352161573_n4773879969.jpg,primary,,,7,30 mph,,0
portland,w28713880_n2707503247.jpg,secondary,designated,shared_lane,,,,1
portland,w403545999_n176521070.jpg,secondary,designated,,3,30 mph,yes,1
portland,w6493606_n53206828.jpg,tertiary,,,2,25 mph,,0
portland,w193405080_n1643814319.jpg,tertiary,designated,,,35 mph,,1
portland,w418536486_n1369584913.jpg,secondary,designated,,3,20 mph,,1
portland,w118971816_n40456487.jpg,tertiary,,,,,,0
portland,w231738432_n684849630.jpg,motorway,no,,2,50 mph,yes,0
portland,w418890399_n40580747.jpg,secondary,designated,lane,,30 mph,yes,1
portland,w30287913_n1392693330.jpg,primary,yes,,2,35 mph,yes,1
portland,w197595334_n1400042646.jpg,tertiary,,,,20 mph,,0
portland,w428312512_n4273571825.jpg,primary,,,7,30 mph,,0
portland,w120057489_n4771946511.jpg,motorway,no,,4,60 mph,yes,0
portland,w399554362_n1968559770.jpg,primary,,,5,30 mph,,0
portland,w54964356_n2522985562.jpg,primary,,,4,25 mph,,0
portland,w96024494_n1676016227.jpg,primary,,,4,25 mph,yes,0
portland,w604479709_n2011295521.jpg,primary,designated,lane,4,30 mph,,1
portland,w418808374_n1418867438.jpg,primary,yes,,5,35 mph,,1
portland,w30369706_n2078173304.jpg,motorway,no,,3,60 mph,yes,0
portland,w55152693_n104739472.jpg,secondary,,,,,,0
portland,w428098905_n4829712362.jpg,secondary,designated,shared_lane,4,30 mph,,1
portland,w435429102_n4333513451.jpg,tertiary,designated,lane,1,25 mph,yes,1
portland,w4910392_n479090774.jpg,primary,,,2,35 mph,yes,0
portland,w425667106_n40571074.jpg,tertiary,designated,lane,1,30 mph,yes,1
portland,w428084310_n1708934240.jpg,primary,,,6,30 mph,no,0
portland,w5538762_n3748754109.jpg,tertiary,,,,20 mph,yes,0
portland,w188692240_n37658572.jpg,tertiary,designated,lane,,35 mph,,1
portland,w5538380_n1496014391.jpg,tertiary,designated,,,20 mph,,1
portland,w395355955_n298264951.jpg,tertiary,designated,lane,2,30 mph,,1
portland,w65490077_n53164136.jpg,primary,,,5,35 mph,,0
portland,w58082996_n29447651.jpg,motorway,no,,2,60 mph,yes,0
portland,w118255042_n1421434415.jpg,tertiary,designated,,,30 mph,,1
portland,w390328205_n1942844966.jpg,tertiary,,,2,30 mph,,0
portland,w450919736_n4560893249.jpg,secondary,designated,,4,30 mph,,1
portland,w320660677_n4574047797.jpg,primary,,,4,35 mph,no,0
portland,w418563219_n1970479886.jpg,secondary,,,2,30 mph,,0
portland,w117162976_n1946793374.jpg,tertiary,designated,lane,2,30 mph,,1
portland,w179552384_n53195056.jpg,tertiary,designated,,2,30 mph,,1
portland,w96862268_n1396535760.jpg,primary,designated,lane,,35 mph,yes,1
portland,w5524991_n1423616195.jpg,primary,yes,,,30 mph,,1
portland,w399134512_n4272315681.jpg,secondary,,,2,30 mph,,0
portland,w428231032_n4273639235.jpg,secondary,,,4,30 mph,yes,0
portland,w428222729_n124258658.jpg,secondary,,,4,30 mph,,0
portland,w55201727_n355783852.jpg,secondary,designated,,,,,1
portland,w620762192_n5435451196.jpg,primary,,,,,yes,0
portland,w54338553_n5247426826.jpg,tertiary,,,,,yes,0
portland,w418542766_n40549653.jpg,secondary,yes,,3,35 mph,,1
portland,w484624022_n2476114340.jpg,secondary,designated,shared_lane,4,30 mph,no,1
portland,w205695117_n40395791.jpg,tertiary,,,,20 mph,,0
portland,w27183380_n2142156905.jpg,primary,,,3,25 mph,,0
portland,w31778363_n4578327438.jpg,tertiary,designated,lane,2,30 mph,,1
portland,w31536010_n155699810.jpg,secondary,designated,,,35 mph,,1
portland,w122606877_n40707504.jpg,secondary,designated,,3,20 mph,,1
portland,w6417050_n53170480.jpg,tertiary,,,2,,,0
portland,w385347282_n4787615085.jpg,primary,,,5,35 mph,,0
portland,w256997441_n3221168420.jpg,tertiary,designated,lane,2,30 mph,,1
portland,w587064664_n1401696127.jpg,tertiary,yes,,3,25 mph,,1
portland,w11833162_n104857988.jpg,tertiary,,,,,,0
portland,w190653691_n1936002252.jpg,tertiary,designated,lane,,35 mph,yes,1
portland,w54338616_n684907631.jpg,secondary,,,2,,yes,0
portland,w418665985_n1492074034.jpg,primary,designated,,4,30 mph,,1
portland,w11838090_n104788622.jpg,tertiary,,,,,,0
portland,w125666534_n2152722691.jpg,secondary,,,,35 mph,,0
portland,w586109407_n40646265.jpg,tertiary,designated,shared_lane,2,20 mph,,1
portland,w395201956_n176466820.jpg,secondary,,,5,35 mph,yes,0
portland,w115920981_n40405320.jpg,primary,designated,,,35 mph,,1
portland,w5538373_n1846298817.jpg,tertiary,designated,,,25 mph,,1
portland,w191677061_n1491023913.jpg,tertiary,,,,,,0
portland,w363373127_n3675436485.jpg,tertiary,,,1,30 mph,yes,0
portland,w109412482_n104707157.jpg,tertiary,,,,,,0
portland,w125696253_n1828988789.jpg,tertiary,designated,,,30 mph,,1
portland,w91821568_n1376369967.jpg,secondary,,,4,25 mph,,0
portland,w377551845_n3809311405.jpg,secondary,designated,,1,25 mph,yes,1
portland,w125684986_n40396999.jpg,primary,yes,,,40 mph,,1
portland,w294921213_n106124160.jpg,tertiary,designated,,,,,1
portland,w150724180_n1472564753.jpg,tertiary,designated,lane,2,25 mph,,1
portland,w32293665_n52990055.jpg,secondary,designated,shared_lane,2,30 mph,yes,1
portland,w396109489_n176411176.jpg,secondary,designated,,3,35 mph,yes,1
portland,w119517914_n40696116.jpg,secondary,,,2,30 mph,,0
portland,w628385207_n2258224609.jpg,tertiary,,,3,,no,0
portland,w169290291_n1804570623.jpg,tertiary,designated,shared_lane,,20 mph,,1
portland,w393047814_n5766540563.jpg,secondary,,,4,30 mph,,0
portland,w61699660_n5440951307.jpg,secondary,designated,lane,3,35 mph,,1
portland,w628324174_n544139055.jpg,tertiary,,,3,,no,0
portland,w465797216_n3516174290.jpg,tertiary,,,2,30 mph,,0
portland,w589339543_n5627676199.jpg,tertiary,designated,,3,25 mph,,1
portland,w191017266_n1323150057.jpg,tertiary,,,,,yes,0
portland,w428079968_n3725221553.jpg,primary,,,6,35 mph,,0
portland,w41983900_n176571986.jpg,secondary,designated,lane,4,45 mph,-1,1
portland,w201196041_n40445800.jpg,tertiary,designated,lane,,30 mph,,1
portland,w175968466_n1524226208.jpg,tertiary,,,,30 mph,,0
portland,w380116994_n5599258125.jpg,secondary,yes,,2,30 mph,yes,1
portland,w190656347_n2012914224.jpg,tertiary,designated,,,25 mph,,1
portland,w428099779_n1695330411.jpg,secondary,,,2,35 mph,yes,0
portland,w39799091_n3850594903.jpg,tertiary,designated,,,25 mph,,1
portland,w511174070_n5000839358.jpg,primary,,,4,,yes,0
portland,w103362455_n1193597422.jpg,motorway,,,2,35 mph,yes,0
portland,w428257432_n53120903.jpg,primary,designated,shared_lane,5,30 mph,,1
portland,w68862491_n1401719425.jpg,tertiary,designated,shared_lane,2,20 mph,,1
portland,w124296968_n2017438217.jpg,tertiary,designated,,,30 mph,,1
portland,w190499645_n1406264554.jpg,secondary,designated,,,40 mph,,1
portland,w428081823_n4831378206.jpg,secondary,,,2,30 mph,yes,0
portland,w120884100_n40507026.jpg,tertiary,designated,,2,30 mph,,1
portland,w30288605_n1744777086.jpg,motorway,no,,2,50 mph,yes,0
portland,w8044410_n677227472.jpg,secondary,,,4,45 mph,,0
portland,w343155541_n105243081.jpg,secondary,designated,,2,25 mph,,1
portland,w272706703_n4531063572.jpg,secondary,,,2,30 mph,,0
portland,w193209777_n2037272672.jpg,secondary,designated,shared_lane,,30 mph,,1
portland,w256988005_n5767338883.jpg,secondary,designated,lane,4,30 mph,,1
portland,w294921211_n1808934864.jpg,tertiary,designated,,,,,1
portland,w614988293_n5816395712.jpg,primary,designated,lane,4,35 mph,,1
portland,w135116278_n2126911710.jpg,tertiary,designated,,2,30 mph,,1
portland,w186076097_n1376369969.jpg,secondary,,,4,25 mph,,0
portland,w377552306_n3809312052.jpg,secondary,designated,,2,25 mph,no,1
portland,w516434553_n40536832.jpg,tertiary,designated,,,,yes,1
portland,w428099797_n5435295579.jpg,primary,,,5,30 mph,,0
portland,w353690160_n53079298.jpg,tertiary,designated,,2,30 mph,,1
portland,w422748213_n1850222740.jpg,tertiary,,,2,30 mph,,0
portland,w297619046_n1276661100.jpg,primary,,lane,2,45 mph,,1
portland,w32135176_n53207167.jpg,tertiary,,,1,30 mph,yes,0
portland,w420383287_n105155427.jpg,secondary,,,,,,0
portland,w305036531_n2492705214.jpg,tertiary,,,2,30 mph,,0
portland,w370785081_n439912357.jpg,primary,designated,shared_lane,3,30 mph,yes,1
portland,w620762167_n660994639.jpg,tertiary,,,,,,0
portland,w203665535_n1384995633.jpg,primary,yes,,,40 mph,,1
portland,w189302216_n40724486.jpg,tertiary,designated,lane,2,25 mph,,1
portland,w403934296_n40516012.jpg,tertiary,,,3,30 mph,,0
portland,w392723582_n40382746.jpg,motorway,no,,3,55 mph,yes,0
portland,w520935755_n5076484565.jpg,secondary,designated,lane,3,35 mph,yes,1
portland,w351719647_n3575508255.jpg,primary,,,2,40 mph,yes,0
portland,w462696717_n2988738700.jpg,secondary,,,4,30 mph,no,0
portland,w4794334_n3258879442.jpg,tertiary,,,1,30 mph,yes,0
portland,w158927784_n1710465024.jpg,tertiary,designated,lane,1,25 mph,yes,1
portland,w532869687_n2137828425.jpg,secondary,designated,shared_lane,1,35 mph,yes,1
portland,w428004358_n4271598634.jpg,secondary,designated,shared_lane,5,30 mph,,1
portland,w428092067_n4405284695.jpg,secondary,yes,no,5,35 mph,,1
portland,w542826819_n1433168512.jpg,primary,designated,lane,3,35 mph,,1
portland,w427893645_n53225565.jpg,primary,,,4,30 mph,,0
portland,w203521973_n2135346803.jpg,primary,,,,45 mph,yes,0
portland,w511174082_n5000839237.jpg,primary,,,2,25 mph,yes,0
portland,w17020444_n176460516.jpg,motorway,yes,,2,55 mph,yes,1
portland,w440890310_n283792102.jpg,secondary,designated,lane,2,30 mph,,1
portland,w252359003_n104531546.jpg,primary,designated,,,,yes,1
portland,w65592615_n1377807898.jpg,secondary,designated,lane,5,35 mph,,1
portland,w428247162_n779404327.jpg,primary,,,5,30 mph,,0
portland,w32653948_n2711385019.jpg,tertiary,,,,,yes,0
portland,w625220730_n2013805638.jpg,primary,,,,25 mph,yes,0
portland,w399347277_n4020829979.jpg,primary,,,1,45 mph,yes,0
portland,w373325615_n1386993717.jpg,tertiary,designated,,3,,yes,1
portland,w465797044_n4580654804.jpg,tertiary,designated,shared_lane,3,30 mph,,1
portland,w344435166_n104668252.jpg,tertiary,designated,,2,25 mph,,1
portland,w515314428_n3372186511.jpg,secondary,designated,lane,3,,,1
portland,w65588069_n1810754583.jpg,secondary,,,2,30 mph,,0
portland,w141277640_n40546230.jpg,secondary,designated,,,35 mph,,1
portland,w327076480_n176571919.jpg,secondary,,,2,35 mph,-1,0
portland,w462696711_n32096784.jpg,primary,,,2,35 mph,yes,0
portland,w220303676_n1386993706.jpg,secondary,designated,,,,yes,1
portland,w5538757_n3506592574.jpg,tertiary,,,,20 mph,yes,0
portland,w41999150_n176534076.jpg,primary,,,3,35 mph,yes,0
portland,w258055053_n2634770668.jpg,primary,,,2,,yes,0
portland,w428033713_n53162432.jpg,primary,designated,lane,6,35 mph,,1
portland,w333350060_n1705310535.jpg,secondary,designated,,,,yes,1
portland,w428045612_n2565694678.jpg,secondary,,,,35 mph,yes,0
portland,w8591337_n2882858893.jpg,tertiary,designated,shared_lane,2,30 mph,,1
portland,w399347272_n176466682.jpg,primary,,,2,45 mph,no,0
portland,w150570458_n1376369960.jpg,secondary,,,4,25 mph,,0
portland,w402958222_n1433140274.jpg,tertiary,designated,lane,3,35 mph,,1
portland,w17026312_n666447753.jpg,tertiary,designated,lane,2,30 mph,no,1
portland,w125693823_n40515789.jpg,primary,yes,,,30 mph,yes,1
portland,w428246460_n4337918664.jpg,secondary,designated,lane,3,30 mph,,1
portland,w22768012_n2706253450.jpg,secondary,,,3,30 mph,,0
portland,w133427977_n40399856.jpg,primary,designated,,5,35 mph,,1
portland,w392576411_n4295273117.jpg,primary,,,,40 mph,yes,0
portland,w6615582_n53091092.jpg,primary,,,4,30 mph,,0
portland,w65490065_n1805088441.jpg,tertiary,,,1,30 mph,yes,0
portland,w122733202_n40380687.jpg,secondary,designated,lane,,25 mph,,1
portland,w550944090_n5320858470.jpg,primary,,,2,,no,0
portland,w153506704_n5198935539.jpg,secondary,,,2,35 mph,yes,0
portland,w428088704_n53194647.jpg,primary,designated,,5,30 mph,,1
portland,w604404276_n1409093283.jpg,primary,designated,lane,6,30 mph,,1
portland,w144148661_n3042697522.jpg,tertiary,designated,,,30 mph,,1
portland,w35125932_n339255249.jpg,primary,,,,,,0
portland,w421953709_n40774927.jpg,tertiary,designated,track,,,yes,1
portland,w124464935_n1385376784.jpg,tertiary,designated,,,20 mph,,1
portland,w428014775_n2529568164.jpg,secondary,designated,lane,3,,,1
portland,w316902472_n3230938319.jpg,primary,,lane,2,35 mph,yes,1
portland,w125414539_n1393032509.jpg,secondary,designated,,,35 mph,,1
portland,w428080890_n4761166480.jpg,secondary,yes,no,2,35 mph,yes,1
portland,w30474340_n1383317601.jpg,motorway,no,,2,50 mph,yes,0
portland,w486023150_n5419998909.jpg,tertiary,designated,track,4,30 mph,,1
portland,w31527091_n40642426.jpg,tertiary,designated,lane,,30 mph,,1
portland,w587320659_n5215333600.jpg,primary,designated,lane,2,35 mph,,1
portland,w604404222_n4581793533.jpg,primary,designated,lane,4,30 mph,,1
portland,w294921081_n1025849860.jpg,secondary,,,,,,0
portland,w488513965_n315289546.jpg,primary,,,2,25 mph,yes,0
portland,w484438422_n4560893226.jpg,tertiary,designated,shared_lane,2,30 mph,,1
portland,w118957857_n1568016817.jpg,tertiary,designated,,2,,yes,1
portland,w27401001_n4583382641.jpg,primary,designated,lane,4,35 mph,,1
portland,w125420230_n40408747.jpg,tertiary,designated,lane,,25 mph,yes,1
portland,w418682896_n1433168556.jpg,primary,designated,lane,4,30 mph,yes,1
portland,w604743409_n5737507273.jpg,tertiary,designated,lane,1,25 mph,yes,1
portland,w120879106_n40644547.jpg,secondary,designated,lane,3,30 mph,yes,1
portland,w603121909_n40436060.jpg,tertiary,,,,20 mph,,0
portland,w428033720_n4271841418.jpg,primary,designated,lane,5,35 mph,,1
portland,w596706735_n1336147066.jpg,tertiary,designated,,,20 mph,,1
portland,w418804341_n1396603169.jpg,primary,yes,,,30 mph,yes,1
portland,w585785413_n5597421421.jpg,secondary,designated,lane,3,30 mph,yes,1
portland,w428089316_n4272325053.jpg,secondary,,,4,30 mph,,0
portland,w5540130_n40740509.jpg,motorway,yes,,3,50 mph,yes,1
portland,w128240100_n1401744434.jpg,tertiary,designated,shared_lane,3,20 mph,,1
portland,w625851608_n105927647.jpg,secondary,,lane,,25 mph,,1
portland,w189764304_n2827348921.jpg,primary,,,4,30 mph,,0
portland,w174556546_n53178014.jpg,tertiary,designated,lane,,,,1
portland,w338863055_n3460180467.jpg,secondary,,,1,30 mph,yes,0
portland,w193751544_n40595561.jpg,tertiary,designated,,2,20 mph,,1
portland,w587064665_n1387945487.jpg,tertiary,designated,lane,3,25 mph,yes,1
portland,w25401406_n1027100601.jpg,tertiary,,,2,25 mph,no,0
portland,w161132485_n3674049588.jpg,tertiary,,,,,yes,0
portland,w389647123_n5319198255.jpg,secondary,designated,shared_lane,3,30 mph,,1
portland,w69340965_n40551598.jpg,tertiary,,,2,,yes,0
portland,w138749286_n5309157026.jpg,motorway,,,3,55 mph,yes,0
portland,w402296272_n40438371.jpg,tertiary,designated,,2,25 mph,,1
portland,w397842831_n176528195.jpg,secondary,designated,lane,4,35 mph,yes,1
portland,w5539228_n40525092.jpg,primary,yes,,,40 mph,,1
portland,w188699650_n40731185.jpg,tertiary,designated,,,30 mph,,1
portland,w54216348_n683705108.jpg,primary,,,4,,,0
portland,w625866891_n3416909079.jpg,primary,,,,,yes,0
portland,w130909971_n2076793275.jpg,primary,designated,lane,2,45 mph,yes,1
portland,w118987024_n2015989443.jpg,primary,,,2,35 mph,yes,0
portland,w160390336_n1396605058.jpg,tertiary,designated,track,4,,,1
portland,w30288775_n1744777071.jpg,motorway,no,,2,50 mph,yes,0
portland,w459489069_n4162263251.jpg,secondary,,,1,30 mph,yes,0
portland,w604479676_n2898404910.jpg,tertiary,,,2,30 mph,,0
portland,w135469502_n40438368.jpg,tertiary,designated,,2,25 mph,,1
portland,w418688087_n40530296.jpg,primary,designated,lane,4,30 mph,,1
portland,w54223853_n683770634.jpg,tertiary,,,2,,no,0
portland,w23622228_n40504825.jpg,motorway,no,,3,55 mph,yes,0
portland,w396062384_n1433159151.jpg,primary,designated,lane,6,35 mph,,1
portland,w169473534_n1806343867.jpg,secondary,,,4,30 mph,,0
portland,w428014746_n53212778.jpg,secondary,designated,lane,,,,1
portland,w418968517_n1395463034.jpg,secondary,designated,lane,3,30 mph,yes,1
portland,w294921100_n2993405874.jpg,tertiary,designated,,2,,,1
portland,w6523130_n53149387.jpg,tertiary,designated,shared_lane,2,30 mph,,1
portland,w117163326_n3221486812.jpg,tertiary,,,2,25 mph,,0
portland,w418883348_n4471639395.jpg,secondary,designated,,,30 mph,yes,1
portland,w593837895_n106015708.jpg,tertiary,,,,,,0
portland,w550944089_n5320858471.jpg,primary,,,1,,yes,0
portland,w193403322_n2039122638.jpg,tertiary,designated,,2,35 mph,,1
portland,w134016031_n520738327.jpg,primary,,,2,35 mph,yes,0
portland,w460419013_n246758546.jpg,secondary,designated,shared_lane,2,30 mph,,1
portland,w6431756_n4858573648.jpg,tertiary,,,2,30 mph,,0
portland,w5528039_n40600025.jpg,tertiary,designated,,,25 mph,,1
portland,w24931799_n2861423370.jpg,secondary,,,4,35 mph,,0
portland,w118851418_n40704080.jpg,secondary,,lane,2,25 mph,,1
portland,w5536816_n40489349.jpg,tertiary,designated,,2,25 mph,,1
portland,w318681936_n1025864128.jpg,secondary,designated,,,,,1
portland,w45666844_n104383287.jpg,secondary,,,,,,0
portland,w23228404_n91260133.jpg,primary,,,4,35 mph,,0
portland,w461936186_n4573686211.jpg,primary,,,5,35 mph,no,0
portland,w263541618_n53230324.jpg,secondary,,,2,30 mph,,0
portland,w440260024_n105982700.jpg,secondary,designated,,3,25 mph,no,1
portland,w320660676_n105098619.jpg,secondary,,shared_lane,,,,1
portland,w260318602_n151889924.jpg,secondary,designated,lane,3,,,1
portland,w54509584_n2610409734.jpg,tertiary,,,,,yes,0
portland,w156201451_n2396891884.jpg,tertiary,designated,lane,,,,1
portland,w39706497_n1396435228.jpg,tertiary,,,,25 mph,,0
portland,w454898329_n693830504.jpg,tertiary,designated,,,25 mph,,1
portland,w205296081_n2152729118.jpg,secondary,,,,35 mph,,0
portland,w11820239_n105097617.jpg,tertiary,,,,,,0
portland,w396089174_n4190793614.jpg,primary,designated,lane,6,35 mph,,1
portland,w461659355_n40568649.jpg,tertiary,designated,,,20 mph,,1
portland,w169669662_n104528821.jpg,tertiary,,,,,,0
portland,w315826309_n5377197794.jpg,motorway,,,2,,yes,0
portland,w266988042_n104867358.jpg,tertiary,,,,,,0
portland,w332483024_n3475823891.jpg,secondary,,,2,35 mph,yes,0
portland,w424387680_n4264595110.jpg,tertiary,designated,,2,,,1
portland,w601354469_n1396325492.jpg,tertiary,designated,track,3,,,1
portland,w368866758_n411602478.jpg,secondary,,,4,30 mph,,0
portland,w294921162_n5166276683.jpg,primary,,,4,25 mph,,0
portland,w45610842_n1368523198.jpg,secondary,,,4,30 mph,,0
portland,w124121557_n40489673.jpg,tertiary,yes,,4,30 mph,,1
portland,w117058392_n3687420679.jpg,tertiary,designated,lane,,20 mph,,1
portland,w4748976_n30279836.jpg,motorway,no,,1,60 mph,yes,0
portland,w500518742_n29973173.jpg,primary,,,4,35 mph,,0
portland,w166268021_n1777272632.jpg,primary,designated,lane,1,30 mph,yes,1
portland,w569505978_n5477012344.jpg,tertiary,designated,lane,3,30 mph,,1
portland,w428033717_n4326212485.jpg,primary,designated,lane,6,35 mph,,1
portland,w240386195_n3744638911.jpg,primary,,,2,30 mph,yes,0
portland,w8591374_n3392889998.jpg,primary,,,2,35 mph,yes,0
portland,w490622982_n4240312879.jpg,primary,,,2,,yes,0
portland,w428020234_n5429351245.jpg,primary,,,6,35 mph,,0
portland,w5541988_n471809691.jpg,tertiary,designated,,,30 mph,,1
portland,w418965679_n4191675211.jpg,secondary,yes,lane,5,30 mph,,1
portland,w117295342_n1342635956.jpg,tertiary,designated,,1,35 mph,yes,1
portland,w6424285_n4580623834.jpg,secondary,,,2,30 mph,,0
portland,w428018921_n53146893.jpg,secondary,designated,shared_lane,5,,,1
portland,w123532294_n1377255046.jpg,tertiary,designated,,,,yes,1
portland,w394229183_n3449229519.jpg,secondary,,,4,30 mph,,0
portland,w327102097_n5531012607.jpg,secondary,designated,lane,3,35 mph,,1
portland,w427901472_n3923026500.jpg,secondary,designated,shared_lane,6,,no,1
portland,w40416132_n4580654850.jpg,tertiary,designated,lane,2,30 mph,,1
portland,w603468154_n5728706655.jpg,tertiary,designated,,1,30 mph,yes,1
portland,w304041736_n40438905.jpg,tertiary,designated,,,30 mph,,1
portland,w399554358_n434748978.jpg,secondary,,,4,30 mph,,0
